country,lead_time,parking_spaces,hotel,y_pred,y_pred_proba,timestamp
CHE,34,0,City Hotel,0,0.30766083111555304,2016-10-01
ITA,177,0,City Hotel,0,0.04728938657490366,2016-10-01
CN,260,0,City Hotel,0,0.003659237870781389,2016-10-01
DEU,44,0,City Hotel,0,0.13389259009391052,2016-10-01
USA,26,0,City Hotel,0,0.3496645607355627,2016-10-01
CHN,22,0,City Hotel,1,0.6577700046151296,2016-10-01
USA,47,0,City Hotel,0,0.33416413304146486,2016-10-01
IRL,32,0,Resort Hotel,0,0.060367048829450994,2016-10-01
PRT,2,0,Resort Hotel,1,0.6444032368520228,2016-10-01
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-01
GBR,46,0,Resort Hotel,0,0.07466011589811253,2016-10-01
GBR,138,0,Resort Hotel,0,0.025783804375582694,2016-10-01
UNK,50,0,Resort Hotel,0,0.47422248794578703,2016-10-01
IRL,57,0,Resort Hotel,0,0.05954012831007675,2016-10-01
FRA,19,0,City Hotel,0,0.2779955930516886,2016-10-01
ITA,11,0,City Hotel,0,0.24096352041979127,2016-10-01
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-01
BRA,161,0,City Hotel,0,0.22275075759863588,2016-10-01
BRA,161,0,City Hotel,0,0.22275075759863588,2016-10-01
FRA,32,0,City Hotel,0,0.2779955930516886,2016-10-01
NLD,47,0,City Hotel,0,0.10822924154242015,2016-10-01
GBR,54,0,City Hotel,0,0.2364705639248144,2016-10-01
PRT,22,0,City Hotel,1,0.6958593123650985,2016-10-01
AUT,117,0,City Hotel,0,0.022986214546283447,2016-10-01
DEU,222,0,City Hotel,0,0.027989591651146693,2016-10-01
GBR,23,0,City Hotel,0,0.2599178338323412,2016-10-01
FRA,18,0,City Hotel,0,0.2779955930516886,2016-10-01
FRA,10,0,City Hotel,0,0.26489270364197043,2016-10-01
FRA,12,0,City Hotel,0,0.26489270364197043,2016-10-01
MAR,37,0,City Hotel,0,0.053987496549449905,2016-10-01
USA,1,0,City Hotel,1,0.5565662973132056,2016-10-01
LUX,26,0,City Hotel,1,0.5495840673485284,2016-10-01
ESP,34,0,City Hotel,0,0.13389259009391052,2016-10-01
BEL,11,0,City Hotel,0,0.13616342320457073,2016-10-01
NLD,9,0,City Hotel,0,0.13140971832025927,2016-10-01
FRA,9,0,City Hotel,0,0.26489270364197043,2016-10-01
FRA,9,0,City Hotel,0,0.26489270364197043,2016-10-01
ITA,35,0,City Hotel,0,0.22962329131655243,2016-10-01
ITA,21,0,City Hotel,0,0.23222910491781568,2016-10-01
FRA,19,0,City Hotel,0,0.2779955930516886,2016-10-01
GBR,46,0,City Hotel,0,0.257105370610523,2016-10-01
GBR,3,0,City Hotel,0,0.31900448061228015,2016-10-01
FRA,38,0,City Hotel,0,0.27506021935924946,2016-10-01
GBR,51,0,City Hotel,0,0.2364705639248144,2016-10-01
NLD,47,0,City Hotel,0,0.10822924154242015,2016-10-01
BRA,75,0,City Hotel,0,0.35888843769820283,2016-10-01
GBR,42,0,City Hotel,0,0.257105370610523,2016-10-01
DEU,127,0,City Hotel,0,0.03471863166360978,2016-10-01
BEL,95,0,City Hotel,0,0.048406217412917334,2016-10-01
AUS,127,0,City Hotel,0,0.014554932949565167,2016-10-01
GBR,28,1,Resort Hotel,0,0.003298703648187859,2016-10-01
PRT,3,0,City Hotel,1,0.7613576596355415,2016-10-01
CHE,16,0,City Hotel,0,0.3225273873812607,2016-10-01
FRA,18,0,City Hotel,0,0.2779955930516886,2016-10-01
NLD,16,0,City Hotel,0,0.10965353479884406,2016-10-01
DEU,195,0,City Hotel,0,0.02361643549576232,2016-10-01
FRA,10,0,City Hotel,0,0.26489270364197043,2016-10-01
USA,12,0,City Hotel,0,0.3607405700364734,2016-10-01
NLD,48,1,Resort Hotel,0,0.002704824832341882,2016-10-01
GBR,33,0,City Hotel,0,0.2599178338323412,2016-10-01
ESP,3,1,Resort Hotel,0,0.00488067228372412,2016-10-01
GBR,208,0,Resort Hotel,0,0.029827898162342666,2016-10-01
BEL,10,0,City Hotel,0,0.13616342320457073,2016-10-01
GBR,163,0,City Hotel,0,0.11408044204856682,2016-10-01
USA,21,0,City Hotel,0,0.3496645607355627,2016-10-01
GBR,42,0,City Hotel,0,0.257105370610523,2016-10-01
NLD,16,0,City Hotel,0,0.10965353479884406,2016-10-01
DEU,257,0,City Hotel,0,0.010658793890194567,2016-10-01
USA,12,1,Resort Hotel,0,0.004289344649905235,2016-10-01
GBR,155,0,Resort Hotel,0,0.029145694938298283,2016-10-01
CHE,79,0,Resort Hotel,0,0.14590889309720276,2016-10-01
ESP,0,0,Resort Hotel,0,0.15187198665820933,2016-10-01
NLD,86,0,City Hotel,0,0.08186346929526346,2016-10-01
ITA,8,1,Resort Hotel,0,0.0030324898491388102,2016-10-01
DEU,37,0,City Hotel,0,0.13389259009391052,2016-10-01
FRA,21,0,City Hotel,0,0.2779955930516886,2016-10-01
BRA,0,0,Resort Hotel,0,0.21075072070589485,2016-10-01
GBR,57,0,City Hotel,0,0.2364705639248144,2016-10-01
BRA,0,1,Resort Hotel,0,0.0033190536532505316,2016-10-01
PRT,70,1,Resort Hotel,0,0.004433564164422846,2016-10-01
USA,20,0,City Hotel,0,0.3496645607355627,2016-10-01
LUX,24,0,City Hotel,1,0.5495840673485284,2016-10-01
FRA,31,0,City Hotel,0,0.2779955930516886,2016-10-01
DEU,185,0,City Hotel,0,0.02361643549576232,2016-10-01
CN,50,0,Resort Hotel,0,0.01908732357389217,2016-10-01
SWE,34,0,City Hotel,0,0.14395388156016942,2016-10-01
ESP,10,0,City Hotel,0,0.161573744399027,2016-10-01
GBR,163,0,City Hotel,0,0.11408044204856682,2016-10-01
CN,165,0,Resort Hotel,0,0.004489282617869212,2016-10-01
ISR,34,0,City Hotel,0,0.2375779600499015,2016-10-01
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-01
DEU,40,0,City Hotel,0,0.13389259009391052,2016-10-01
GBR,63,0,Resort Hotel,0,0.06734072155638035,2016-10-01
PRT,145,0,Resort Hotel,1,0.5324029945611779,2016-10-01
CN,166,0,Resort Hotel,0,0.004489282617869212,2016-10-01
CN,166,0,Resort Hotel,0,0.004489282617869212,2016-10-01
CN,166,0,Resort Hotel,0,0.004489282617869212,2016-10-01
CN,165,0,Resort Hotel,0,0.004489282617869212,2016-10-01
CN,94,0,Resort Hotel,0,0.006931912586634813,2016-10-01
CN,94,0,Resort Hotel,0,0.006931912586634813,2016-10-01
CN,166,0,Resort Hotel,0,0.004489282617869212,2016-10-01
IRL,178,0,Resort Hotel,0,0.014169228808458242,2016-10-01
IRL,24,0,Resort Hotel,0,0.060367048829450994,2016-10-01
CYP,16,0,City Hotel,0,0.24075363145764586,2016-10-01
GBR,26,0,City Hotel,0,0.2599178338323412,2016-10-01
ITA,102,0,City Hotel,0,0.10217499744376171,2016-10-01
IRL,159,1,Resort Hotel,0,0.0009537230662507838,2016-10-01
FRA,163,1,Resort Hotel,0,0.0019217258514832478,2016-10-01
DEU,259,0,City Hotel,0,0.010658793890194567,2016-10-01
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-02
BRA,210,0,City Hotel,0,0.14616820462709476,2016-10-02
BRA,74,0,City Hotel,0,0.35888843769820283,2016-10-02
ESP,14,0,City Hotel,0,0.13560325690239586,2016-10-02
CN,36,1,City Hotel,0,0.003515162637962042,2016-10-02
DEU,281,0,City Hotel,0,0.010658793890194567,2016-10-02
DEU,281,0,City Hotel,0,0.010658793890194567,2016-10-02
DEU,133,0,City Hotel,0,0.03471863166360978,2016-10-02
DEU,281,0,City Hotel,0,0.010658793890194567,2016-10-02
DEU,281,0,City Hotel,0,0.010658793890194567,2016-10-02
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-02
IRL,61,0,Resort Hotel,0,0.05189543766270379,2016-10-02
GBR,45,0,City Hotel,0,0.257105370610523,2016-10-02
PRT,1,1,City Hotel,0,0.017716829303227107,2016-10-02
GBR,341,0,Resort Hotel,0,0.023308489909845753,2016-10-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,2016-10-02
PRT,32,1,Resort Hotel,0,0.005692483749685758,2016-10-02
ESP,6,0,City Hotel,0,0.161573744399027,2016-10-02
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-02
FRA,19,0,City Hotel,0,0.2779955930516886,2016-10-02
PRT,109,0,City Hotel,1,0.6980161011992432,2016-10-02
ITA,27,0,City Hotel,0,0.23222910491781568,2016-10-02
DEU,11,0,City Hotel,0,0.161573744399027,2016-10-02
PRT,4,1,City Hotel,0,0.009422369381661092,2016-10-02
