country,lead_time,parking_spaces,hotel,y_pred,y_pred_proba,is_canceled,timestamp
FRA,120,0,City Hotel,0,0.23998302688327233,0,2016-05-01
ITA,120,1,City Hotel,0,0.003964586118241897,0,2016-05-01
FIN,121,0,City Hotel,0,0.011163326560611775,0,2016-05-01
PRT,3,0,City Hotel,1,0.7613576596355415,1,2016-05-01
GBR,3,0,City Hotel,0,0.31900448061228015,0,2016-05-01
BEL,94,0,City Hotel,0,0.048406217412917334,0,2016-05-01
ISR,75,0,City Hotel,0,0.18237001045200263,1,2016-05-01
FRA,184,0,City Hotel,0,0.0924709429468493,0,2016-05-01
PRT,100,0,City Hotel,1,0.6980161011992432,0,2016-05-01
ESP,0,0,City Hotel,0,0.2829357079919681,0,2016-05-01
PRT,17,0,Resort Hotel,1,0.5985133536906496,0,2016-05-01
DNK,97,0,City Hotel,0,0.1410910748290346,0,2016-05-01
PRT,74,0,City Hotel,1,0.6242324379207522,0,2016-05-01
PRT,1,0,Resort Hotel,1,0.7456242794489204,0,2016-05-01
PRT,9,1,Resort Hotel,0,0.0061562449796288,0,2016-05-01
ESP,0,0,Resort Hotel,0,0.15187198665820933,0,2016-05-01
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-01
PRT,90,0,Resort Hotel,1,0.6009646039954705,0,2016-05-01
PRT,17,0,Resort Hotel,1,0.5985133536906496,0,2016-05-01
PRT,35,1,Resort Hotel,0,0.005692483749685758,0,2016-05-01
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-01
BRA,0,1,Resort Hotel,0,0.0033190536532505316,0,2016-05-01
CHE,0,0,Resort Hotel,0,0.1736926890345691,0,2016-05-01
NLD,0,0,Resort Hotel,0,0.08247299778260343,0,2016-05-01
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-01
DEU,11,0,Resort Hotel,0,0.09016404936539449,0,2016-05-01
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-01
SVN,0,0,City Hotel,0,0.25860817155607274,0,2016-05-01
NLD,164,0,City Hotel,0,0.03103502200222029,0,2016-05-01
PRT,17,0,Resort Hotel,1,0.5985133536906496,0,2016-05-01
PRT,66,0,City Hotel,1,0.6810845009031028,0,2016-05-01
UNK,4,0,Resort Hotel,0,0.4860117949575991,0,2016-05-01
PRT,110,0,City Hotel,1,0.6980161011992432,0,2016-05-01
PRT,115,0,City Hotel,1,0.7294971501430226,0,2016-05-01
FRA,115,0,City Hotel,0,0.2096315474932912,0,2016-05-01
BRA,111,0,City Hotel,0,0.28034369349274557,0,2016-05-01
GBR,216,0,City Hotel,0,0.08331536941038942,0,2016-05-01
BEL,5,0,City Hotel,0,0.13616342320457073,0,2016-05-01
DEU,77,0,City Hotel,0,0.09417472160872421,0,2016-05-01
UNK,3,0,Resort Hotel,1,0.5115778685294988,0,2016-05-01
DEU,83,0,City Hotel,0,0.09417472160872421,0,2016-05-01
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-01
ARG,152,1,Resort Hotel,0,0.0025189581118448116,0,2016-05-01
FRA,24,1,Resort Hotel,0,0.003476627184484013,0,2016-05-01
NLD,164,0,City Hotel,0,0.03103502200222029,0,2016-05-01
IRL,112,0,City Hotel,0,0.04946398919890302,0,2016-05-01
NLD,164,0,City Hotel,0,0.03103502200222029,0,2016-05-01
PRT,105,0,City Hotel,1,0.6980161011992432,0,2016-05-01
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ISR,88,1,City Hotel,0,0.0030691900508865813,0,2016-05-01
PRT,180,0,City Hotel,0,0.4671795260045603,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
PRT,180,0,City Hotel,0,0.4671795260045603,0,2016-05-01
PRT,4,0,City Hotel,1,0.7294953430180765,0,2016-05-01
FRA,80,0,City Hotel,0,0.22788247892344035,0,2016-05-01
FRA,80,0,City Hotel,0,0.22788247892344035,0,2016-05-01
FRA,80,0,City Hotel,0,0.22788247892344035,0,2016-05-01
PRT,180,0,City Hotel,0,0.4671795260045603,0,2016-05-01
JPN,15,0,City Hotel,0,0.06041616560528804,0,2016-05-01
PRT,82,0,City Hotel,1,0.6242324379207522,0,2016-05-01
DEU,11,0,City Hotel,0,0.161573744399027,0,2016-05-01
PRT,3,0,City Hotel,1,0.7613576596355415,0,2016-05-01
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-01
GBR,97,0,Resort Hotel,0,0.03819242643154838,0,2016-05-01
ARG,152,0,Resort Hotel,0,0.11719786867482526,0,2016-05-01
FRA,2,0,City Hotel,0,0.3237537396614964,0,2016-05-01
FRA,72,0,City Hotel,0,0.22788247892344035,0,2016-05-01
PRT,109,0,City Hotel,1,0.6980161011992432,0,2016-05-01
NLD,38,0,City Hotel,0,0.10822924154242015,0,2016-05-01
PRT,4,0,City Hotel,1,0.7294953430180765,0,2016-05-01
PRT,23,0,City Hotel,1,0.6958593123650985,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
FIN,1,0,City Hotel,0,0.18321477402826855,0,2016-05-01
GBR,210,0,City Hotel,0,0.08331536941038942,0,2016-05-01
PRT,180,0,City Hotel,0,0.4671795260045603,0,2016-05-01
ITA,82,0,City Hotel,0,0.17583751569025494,0,2016-05-01
ITA,82,0,City Hotel,0,0.17583751569025494,0,2016-05-01
PRT,180,0,City Hotel,0,0.4671795260045603,0,2016-05-01
PRT,180,0,City Hotel,0,0.4671795260045603,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
NLD,0,0,City Hotel,0,0.21607976201695644,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
NLD,3,0,City Hotel,0,0.1792049777063953,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
DEU,24,0,City Hotel,0,0.13560325690239586,0,2016-05-01
NLD,4,0,City Hotel,0,0.15579994090884505,0,2016-05-01
